"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA)","PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.","Pradeep Kumar Singh","ARARIA","N/A","05-Sep-2024","448127"
"2","Normal/Others","WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","300000"
"3","Normal/Others","WS/MP345/2024-2025/134140-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Concreting of road from Janathavayanasala -  Panthaplavil, ward no.6  Thrikkaruva GP, in  Kollam Constituency","Shri NK Premachandran","KOLLAM","N/A","12-Aug-2024","293492"
"4","Normal/Others","WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school bajakhana main","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","300000"
"5","Normal/Others","WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","300000"
"6","Normal/Others","WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Rauwala","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","300000"
"7","Normal/Others","WS/MP345/2024-2025/134143-Construction of buildings for community cultural activities","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Construction of Building for Brothers Library & Reading room, Puthenchantha at  Panmana Grama panchayath in Chavara Constituency.","Shri NK Premachandran","KOLLAM","Images","28-Oct-2024","1182588"
"8","Normal/Others","WS/MP345/2024-2025/134144-Construction of buildings for community cultural activities","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Construction of Head Quarter Building  for Perumon Thanal Charitable Trust in Panayam Grama Panchayat of Kollam Constituency (2nd  reach)","Shri NK Premachandran","KOLLAM","N/A","17-Aug-2024","338444"
"9","Normal/Others","WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","300000"
"10","Normal/Others","WS/MP18152/2024-2025/133696-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of RO System and water cooler in Govt Primary school Pakka No.4","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","84500"
